file,line,col,log_line,raw_message,category,suggestion
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,178,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,181,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,184,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,192,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,206,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,214,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,228,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,231,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,239,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,253,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,256,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,259,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,262,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,265,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,273,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,287,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,295,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,309,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,312,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,320,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,333,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
